species_name
Abies alba
Abies cephalonica
Acacia dealbata
Acanthus mollis
Acer campestre
Acer monspessulanum
Acer negundo
Acer opalus
Acer palmatum
Acer platanoides
Acer pseudoplatanus
Acer saccharinum
Achillea filipendulina
Achillea millefolium
Achillea ptarmica
Aconitum lycoctonum
Aconitum napellus
Adenostyles alliariae
Adonis annua
Aegopodium podagraria
Aesculus hippocastanum
Aethionema saxatile
Agave americana
Agave sisalana
Agrimonia eupatoria
Agrostemma githago
Ailanthus altissima
Ajuga chamaepitys
Ajuga genevensis
Ajuga iva
Ajuga reptans
Albizia julibrissin
Alcea rosea
Alliaria petiolata
Allium narcissiflorum
Allium nigrum
Allium polyanthum
Allium schoenoprasum
Allium sphaerocephalon
Allium triquetrum
Allium ursinum
Alnus alnobetula
Alnus cordata
Alnus glutinosa
Althaea cannabina
Althaea officinalis
Amaranthus deflexus
Ambrosia artemisiifolia
Amelanchier ovalis
Ammophila arenaria
Amorpha fruticosa
Anacamptis champagneuxii
Anacamptis laxiflora
Anacamptis morio
Anacamptis pyramidalis
Anacyclus clavatus
Anarrhinum bellidifolium
Anchusa italica
Androsace villosa
Andryala integrifolia
Anemone alpina
Anemone coronaria
Anemone hepatica
Anemone nemorosa
Anemone pulsatilla
Anemone ranunculoides
Anemone rubra
Anemone vernalis
Angelica heterocarpa
Angelica sylvestris
Antennaria dioica
Anthemis maritima
Anthericum liliago
Anthoxanthum odoratum
Anthriscus sylvestris
Anthyllis hermanniae
Anthyllis montana
Anthyllis vulneraria
Antirrhinum majus
Aphyllanthes monspeliensis
Aquilegia vulgaris
Arabidopsis thaliana
Arbutus unedo
Arctium lappa
Arctium minus
Argyrolobium zanonii
Aristolochia clematitis
Aristolochia pistolochia
Aristolochia rotunda
Armeria alpina
Armeria arenaria
Armeria maritima
Arnica montana
Artemisia vulgaris
Arum italicum
Arum maculatum
Arundo donax
Asparagus acutifolius
Asparagus officinalis
Asphodelus albus
Asphodelus cerasiferus
Asphodelus ramosus
Asplenium adiantum-nigrum
Asplenium ceterach
Asplenium ruta-muraria
Asplenium scolopendrium
Asplenium trichomanes
Aster alpinus
Astragalus glycyphyllos
Astragalus hamosus
